    PID STAT     ELAPSED WCHAN                            COMMAND
    699 S       23:10:02 poll_schedule_timeout.constprop. dhcpcd: [DHCP6 proxy] fe80::6474:a6f0:2f20:571a
    700 I<      23:10:02 rescuer_thread                   [kworker/R-ttm]
    701 S       23:10:02 kthread_worker_fn                [card1-crtc0]
    702 S       23:10:02 kthread_worker_fn                [card1-crtc1]
    703 S       23:10:02 kthread_worker_fn                [card1-crtc2]
    704 S       23:10:02 kthread_worker_fn                [card1-crtc3]
    705 S       23:10:02 kthread_worker_fn                [card1-crtc4]
    706 S       23:10:02 kthread_worker_fn                [card1-crtc5]
    707 I<      23:10:02 rescuer_thread                   [kworker/R-gfx]
    708 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.0.0]
    709 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.1.0]
    710 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.2.0]
    711 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.3.0]
    712 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.0.1]
    713 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.1.1]
    714 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.2.1]
    715 I<      23:10:02 rescuer_thread                   [kworker/R-comp_1.3.1]
    716 I<      23:10:02 rescuer_thread                   [kworker/R-sdma0]
    717 I<      23:10:02 rescuer_thread                   [kworker/R-page0]
    718 I<      23:10:02 rescuer_thread                   [kworker/R-sdma1]
    719 I<      23:10:02 rescuer_thread                   [kworker/R-page1]
    720 I<      23:10:02 rescuer_thread                   [kworker/R-uvd_0]
    721 I<      23:10:02 rescuer_thread                   [kworker/R-uvd_enc_0.0]
    722 I<      23:10:02 rescuer_thread                   [kworker/R-uvd_enc_0.1]
    723 I<      23:10:02 rescuer_thread                   [kworker/R-vce0]
    724 I<      23:10:02 rescuer_thread                   [kworker/R-vce1]
    725 I<      23:10:02 rescuer_thread                   [kworker/R-vce2]
    726 I<      23:10:02 rescuer_thread                   [kworker/R-amdgpu-reset-dev]
    728 I<      23:10:01 rescuer_thread                   [kworker/R-ttm]
    729 S       23:10:01 kthread_worker_fn                [card2-crtc0]
    730 S       23:10:01 kthread_worker_fn                [card2-crtc1]
    731 S       23:10:01 kthread_worker_fn                [card2-crtc2]
    732 S       23:10:01 kthread_worker_fn                [card2-crtc3]
    733 S       23:10:01 kthread_worker_fn                [card2-crtc4]
    734 S       23:10:01 kthread_worker_fn                [card2-crtc5]
    735 I<      23:10:01 rescuer_thread                   [kworker/R-gfx]
    736 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.0.0]
    737 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.1.0]
    738 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.2.0]
    739 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.3.0]
    740 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.0.1]
    741 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.1.1]
    742 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.2.1]
    743 I<      23:10:01 rescuer_thread                   [kworker/R-comp_1.3.1]
    744 I<      23:10:01 rescuer_thread                   [kworker/R-sdma0]
    745 I<      23:10:01 rescuer_thread                   [kworker/R-page0]
    746 I<      23:10:01 rescuer_thread                   [kworker/R-sdma1]
    747 I<      23:10:01 rescuer_thread                   [kworker/R-page1]
    748 I<      23:10:01 rescuer_thread                   [kworker/R-uvd_0]
    749 I<      23:10:01 rescuer_thread                   [kworker/R-uvd_enc_0.0]
    750 I<      23:10:01 rescuer_thread                   [kworker/R-uvd_enc_0.1]
    751 I<      23:10:01 rescuer_thread                   [kworker/R-vce0]
    752 I<      23:10:01 rescuer_thread                   [kworker/R-vce1]
    753 I<      23:10:01 rescuer_thread                   [kworker/R-vce2]
    755 S       23:10:00 poll_schedule_timeout.constprop. dhcpcd: [DHCP6 proxy] fd28:e64f:c45c:0:56fe:4e31:ae4a:cca0
    773 S       23:10:00 poll_schedule_timeout.constprop. dhcpcd: [DHCP6 proxy] 2601:18c:9280:d0a6:b15e:95e7:186f:d458
    778 S       23:10:00 poll_schedule_timeout.constprop. dhcpcd: [DHCP6 proxy] fd28:e64f:c45c::8c8
    779 S       23:10:00 poll_schedule_timeout.constprop. dhcpcd: [DHCP6 proxy] 2601:18c:9280:d0a6::8c8
    803 Ssl     23:10:00 do_epoll_wait                    /usr/lib/systemd/systemd-timesyncd
    859 S       23:09:57 poll_schedule_timeout.constprop. dhcpcd: [BOOTP proxy] 10.0.0.137
    890 Ss      23:09:43 do_epoll_wait                    /usr/lib/systemd/systemd --user
    892 S       23:09:42 do_sigtimedwait.isra.0           (sd-pam)
  46369 Ss      08:56:51 poll_schedule_timeout.constprop. sshd-session: zutfen [priv]
  46377 S       08:56:47 poll_schedule_timeout.constprop. sshd-session: zutfen@pts/1
  46378 Ss      08:56:47 do_wait                          -bash
  91587 I       05:07:31 worker_thread                    [kworker/u8:3-flush-8:0]
 101652 S       02:59:24 psi_rtpoll_worker                [psimon]
 101726 Ss      02:59:16 hrtimer_nanosleep                python3 /usr/local/sbin/octofan-control
 112652 I       01:32:35 worker_thread                    [kworker/0:1-events]
 115828 I       01:22:51 worker_thread                    [kworker/u8:0-flush-8:0]
 120022 D<      01:13:43 dma_fence_default_wait           [kworker/u9:23+ttm]
 123523 Sl+     01:08:58 poll_schedule_timeout.constprop. nvtop
 125030 I<      01:07:51 worker_thread                    [kworker/u9:4-ttm]
 129036 D       01:01:52 dm_suspend                       [kworker/u8:1+amdgpu-reset-dev]
 132694 I          39:13 worker_thread                    [kworker/1:2-cgroup_release]
 132932 I          37:54 worker_thread                    [kworker/1:3-mm_percpu_wq]
 133335 Ss         35:47 do_epoll_wait                    /usr/lib/systemd/systemd --user
 133337 S          35:47 do_sigtimedwait.isra.0           (sd-pam)
 133564 I          35:41 worker_thread                    [kworker/u8:4-flush-8:0]
 133653 I<         35:18 worker_thread                    [kworker/u9:0-ttm]
 133654 D<         35:18 dma_fence_default_wait           [kworker/u9:1+ttm]
 133655 D<         35:18 dma_fence_default_wait           [kworker/u9:2+ttm]
 133658 D<         35:18 dma_fence_default_wait           [kworker/u9:6+ttm]
 133659 D<         35:18 dma_fence_default_wait           [kworker/u9:7+ttm]
 133661 D<         35:18 dma_fence_default_wait           [kworker/u9:9+ttm]
 133662 D<         35:18 dma_fence_default_wait           [kworker/u9:10+ttm]
 133663 D<         35:18 dma_fence_default_wait           [kworker/u9:11+ttm]
 133665 I<         35:18 worker_thread                    [kworker/u9:13-ttm]
 133687 I<         35:14 worker_thread                    [kworker/u9:14-ttm]
 133688 D<         35:14 dma_fence_default_wait           [kworker/u9:15+ttm]
 134095 D<         34:26 dma_fence_default_wait           [kworker/u9:16+ttm]
 134096 D<         34:26 dma_fence_default_wait           [kworker/u9:17+ttm]
 134097 D<         34:26 dma_fence_default_wait           [kworker/u9:18+ttm]
